"latitude","longitude"
51.394355446,-114.33467933
51.394350501,-114.333922192
51.394352093,-114.333190368
51.394342622,-114.332453515
51.394356955,-114.331730995
51.394358631,-114.330999171
51.39435444,-114.330265084
51.394739924,-114.330104403
51.395193804,-114.330109097
51.39565045,-114.330112366
51.396156633,-114.330102308
51.396631887,-114.330097027
51.397107476,-114.330095854
51.397590442,-114.330097027
51.397941308,-114.33031898
51.397941141,-114.331083829
51.39794047,-114.331827974
51.39793125,-114.332609586
51.397928316,-114.333344009
51.397921946,-114.334122604
51.397913899,-114.334839089
51.397944577,-114.334444804
51.397938123,-114.333671741
51.397940302,-114.332910497
51.397952372,-114.332183115
51.397968046,-114.33140452
51.397973159,-114.330652664
51.398124201,-114.330131561
51.398582188,-114.330171794
51.399056101,-114.330209009
51.399524901,-114.330102475
51.399948187,-114.330087807
51.400408354,-114.33009644
51.400876315,-114.330092836
51.401335644,-114.33008831
51.401613923,-114.330441942
51.401612917,-114.33117385
51.401608894,-114.331919923
51.401614426,-114.332667338
51.401610151,-114.333423805
51.40161342,-114.334178846
51.401637392,-114.333861843
51.401635716,-114.33311116
51.401630184,-114.332379
51.401630435,-114.331612224
51.401630519,-114.330870258
51.401626077,-114.330146899
51.402240135,-114.33009116
51.402724441,-114.33007909
51.403206987,-114.330082359
51.403673692,-114.330092333
51.404149281,-114.330105996
51.404541386,-114.330264414
51.404551277,-114.33102658
51.404552199,-114.331764523
51.404552534,-114.332535574
51.404549852,-114.333275026
51.404553372,-114.334041215
51.404549601,-114.334772201
51.404573489,-114.334532898
51.404565526,-114.333778611
51.404574243,-114.333035052
51.404571058,-114.332306916
51.404564269,-114.331578529
51.404562592,-114.330847124
51.404620428,-114.33016995
51.405090401,-114.330145475
51.405550987,-114.330116473
51.406012243,-114.330101386
51.406480204,-114.330081521
51.406965014,-114.330105241
51.407421073,-114.330109097
51.407873025,-114.330129716
51.408326654,-114.330134829
51.408797968,-114.330135416
51.409113212,-114.330450073
51.409111116,-114.331176113
51.409117654,-114.331931742
51.409127042,-114.332685443
51.409126204,-114.33340746
51.409129892,-114.334143307
51.409128802,-114.334879741
51.408853456,-114.335189788
51.408394799,-114.335171515
51.407919964,-114.335137904
51.407462479,-114.335109405
51.406981191,-114.335086439
51.406523371,-114.335061545
51.406063372,-114.335052827
51.405601362,-114.335050732
51.405123174,-114.335039835
51.404654207,-114.335019635
51.404329073,-114.335016115
51.40384309,-114.335003626
51.403360041,-114.334993232
51.40290088,-114.334997926
51.402425207,-114.33498946
51.40195054,-114.334961129
51.401630938,-114.33468285
51.40162088,-114.334255876
51.401599254,-114.334959118
51.401148895,-114.335001279
51.40067121,-114.335008068
51.400214983,-114.335005637
51.399724055,-114.335013265
51.399266319,-114.335020473
51.398799112,-114.335020809
51.398333078,-114.335018881
51.397987157,-114.33484856
51.397794206,-114.334679078
51.397848269,-114.334935481
51.397399167,-114.334996501
51.396926763,-114.335000021
51.396440193,-114.334999099
51.395953121,-114.334986946
51.395477448,-114.334984431
51.395021724,-114.334987113
51.394535406,-114.334989376
