"Date","Expected_Fixes","On_Time_Fix","No_fix","Early_Fix","Late_Fix","Avg_Speed_Day","Avg_Speed_Night","Out_of_Bounds","Percent_No_Fix_to_Total","Per_Missing__to_Expected_Fix"
"2020-06-18",97,74,20,0,0,NA,0.197920715875624,4,"27.027027027027 %","23.7113402061856 %"
"2020-06-19",288,231,37,5,3,0.331832451959007,0.103230553276065,12,"15.4811715481172 %","17.0138888888889 %"
"2020-06-20",288,271,10,0,0,0.0876171572518635,0.0615788889970726,8,"3.690036900369 %","5.90277777777778 %"
"2020-06-21",288,238,31,1,2,0.238604961712484,0.067289070773649,15,"12.8630705394191 %","16.3194444444444 %"
"2020-06-22",288,280,3,0,0,0.184949117472796,0.0860513574990352,5,"1.07142857142857 %","2.77777777777778 %"
"2020-06-23",288,274,9,1,0,0.0520377685134799,0.0740197010882841,4,"3.27272727272727 %","4.51388888888889 %"
"2020-06-24",288,260,14,1,0,0.170509148135855,0.0685479691739606,11,"5.3639846743295 %","9.375 %"
"2020-06-25",288,274,11,0,0,0.0842335223013304,0.103237141270677,3,"4.01459854014599 %","4.86111111111111 %"
"2020-06-26",288,269,11,2,0,0.169964985583954,0.24929987985307,7,"4.0590405904059 %","5.90277777777778 %"
"2020-06-27",288,129,126,3,4,0.589571405469306,0.536133932893569,26,"92.6470588235294 %","52.7777777777778 %"
"2020-06-28",288,197,69,0,0,0.259277456975791,1.01881843565835,21,"35.0253807106599 %","31.5972222222222 %"
"2020-06-29",288,284,1,2,0,0.199284115550541,0.0615427832736535,2,"0.34965034965035 %","0.694444444444444 %"
"2020-06-30",288,245,23,2,7,0.151544477966332,0.122660454675914,10,"9.05511811023622 %","11.8055555555556 %"
"2020-07-01",288,283,2,0,0,0.0618221813862308,0.0664780035283971,1,"0.706713780918728 %","1.73611111111111 %"
"2020-07-02",288,286,0,1,1,0.071942985532409,0.256141907276936,0,"0 %","0 %"
"2020-07-03",288,219,59,1,3,0.368831786759428,0.0964697753050538,6,"26.457399103139 %","22.5694444444444 %"
"2020-07-04",288,286,1,1,0,0.0823798466940511,0.0736419606861396,1,"0.348432055749129 %","0.347222222222222 %"
"2020-07-05",288,281,2,0,1,0.127020748706061,0.266071222582738,2,"0.709219858156028 %","2.08333333333333 %"
"2020-07-06",288,283,0,0,0,0.107589913819325,0.0779917902089639,2,"0 %","1.73611111111111 %"
"2020-07-07",288,279,1,2,0,0.159868016955886,0.105515987603304,1,"0.355871886120996 %","2.43055555555556 %"
"2020-07-08",288,283,1,1,0,0.180837082878283,0.140503696508788,1,"0.352112676056338 %","1.38888888888889 %"
"2020-07-09",288,273,9,0,0,0.112592670823931,0.221334074734411,6,"3.2967032967033 %","5.20833333333333 %"
"2020-07-10",288,266,8,1,4,0.125859659152375,0.0695555747130707,8,"2.9520295202952 %","5.90277777777778 %"
"2020-07-11",288,269,11,0,0,0.120490307912257,0.357697590704281,8,"4.08921933085502 %","6.59722222222222 %"
"2020-07-12",288,258,15,1,1,0.158464377421578,0.0915860513917738,10,"5.76923076923077 %","9.72222222222222 %"
"2020-07-13",126,106,11,3,2,0.157412556746368,NA,4,"9.90990990990991 %","11.9047619047619 %"
